"","val","par","interference","estimator"
"1",-2.98977082,"Bias","low","Unadjusted"
"2",-2.17514262,"Bias","low","RegressionXind"
"3",-2.12619808,"Bias","low","SubclassXind"
"4",-0.270252419999998,"Bias","low","RegressionXz"
"5",-0.180786619999999,"Bias","low","SubclassXz"
"6",-0.138985799999999,"Bias","low","SubclassGPS1"
"7",-0.000763279999999256,"Bias","low","SubclassGPS2"
"8",-3.5419314,"Bias","medium","Unadjusted"
"9",-2.5827165,"Bias","medium","RegressionXind"
"10",-2.5552324,"Bias","medium","SubclassXind"
"11",-0.281382059999999,"Bias","medium","RegressionXz"
"12",-0.228310639999998,"Bias","medium","SubclassXz"
"13",-0.13650268,"Bias","medium","SubclassGPS1"
"14",0.00134338000000156,"Bias","medium","SubclassGPS2"
"15",-3.91466282,"Bias","high","Unadjusted"
"16",-2.85914412,"Bias","high","RegressionXind"
"17",-2.84622214,"Bias","high","SubclassXind"
"18",-0.2922634,"Bias","high","RegressionXz"
"19",-0.26246456,"Bias","high","SubclassXz"
"20",-0.13931154,"Bias","high","SubclassGPS1"
"21",-0.000420959999999582,"Bias","high","SubclassGPS2"
"22",2.99137214154787,"RMSE","low","Unadjusted"
"23",2.17757622073412,"RMSE","low","RegressionXind"
"24",2.14644248941855,"RMSE","low","SubclassXind"
"25",0.281971670775416,"RMSE","low","RegressionXz"
"26",0.191477136782123,"RMSE","low","SubclassXz"
"27",0.152340735619203,"RMSE","low","SubclassGPS1"
"28",0.057791363805676,"RMSE","low","SubclassGPS2"
"29",3.54365768890267,"RMSE","medium","Unadjusted"
"30",2.58537333053372,"RMSE","medium","RegressionXind"
"31",2.57937066841914,"RMSE","medium","SubclassXind"
"32",0.294843287260266,"RMSE","medium","RegressionXz"
"33",0.24014696476691,"RMSE","medium","SubclassXz"
"34",0.150121131035307,"RMSE","medium","SubclassGPS1"
"35",0.0587866900027549,"RMSE","medium","SubclassGPS2"
"36",3.91645710432205,"RMSE","high","Unadjusted"
"37",2.86192531808988,"RMSE","high","RegressionXind"
"38",2.87273695955149,"RMSE","high","SubclassXind"
"39",0.306792237989489,"RMSE","high","RegressionXz"
"40",0.274824906335724,"RMSE","high","SubclassXz"
"41",0.151460696686499,"RMSE","high","SubclassGPS1"
"42",0.0584592428007753,"RMSE","high","SubclassGPS2"
